JAP;FR;COUNT;OUPS
Yonah!?;Yonah ?!;1;Yonah!?
Brother? Hey, you wanna hear about the crazy dream I had last night?;Papa ? Dis, papa, tu veux que je te raconte le rêve étrange que j'ai fait hier ?;3;Brother? Hey, you wanna hear about the crazy dream I had last night?
Mmm?;Hum ?;4;Mmm?
Be careful, Brother. All right?;Sois prudent, d'accord papa#?;5;Be careful, Brother. All right?
...I love you, Brother.;... Je t'aime, papa.;6;...I love you, Brother.
...I'll take care of the place while you're gone.;... Je prendrai soin de la maison en ton absence.;7;...I'll take care of the place while you're gone.
Brother... I'm sorry I'm sick...;Papa... Je suis désolée d'être malade...;8;Brother... I'm sorry I'm sick...
Howdy there! I think Popola's expecting you in the library, isn't she?;Bonjour#! Popola ne t'avait pas demandé d'aller la rejoindre à la bibliothèque#?;9;Howdy there! I think Popola's expecting you in the library, isn't she?
Hey, I heard Popola needs help with some kinda job.;J'ai entendu dire que Popola a besoin de ton aide.;10;Hey, I heard Popola needs help with some kinda job.
I think she's waitin' for ya in the library.;Je crois que Popola t'attend à la bibliothèque.;11;I think she's waitin' for ya in the library.
Guess the tavern's not open yet.;La taverne n'a pas l'air d'être encore ouverte.;12;Guess the tavern's not open yet.
Mornin'.;Bonjour !;13;Mornin'.
Hello, Devola.;Salut, Devola.;14;Hello, Devola.
It's dangerous to run like this!;Tu m'as l'air d'attaque ce matin !;15;It's dangerous to run like this!
I'll be careful!;Tu me connais. C'est pour ma fille que je travaille.;17;I'll be careful!
I know Yonah means everything to you, but don't overwork yourself, all right?;Je sais que Yonah est ce qu'il y a de plus important pour toi, mais ne te surmène pas trop, d'accord#?;19;I know Yonah means everything to you, but don't overwork yourself, all right?
Good morning. How's Yonah doing today?;Bonjour. Comment va Yonah aujourd'hui#?;20;Good morning. How's Yonah doing today?
Her cough isn't any better.;Sa toux ne s'améliore pas.;21;Her cough isn't any better.
