JAP;FR;COUNT;OUPS
We have taken more casualties...;Un autre villageois a péri...;1;We have taken more casualties...
They just keep coming!;Les Ombres sont partout !;2;They just keep coming!
Are you truly going to abandon them?;Comptes-tu vraiment les abandonner#?;3;Are you truly going to abandon them?
We'll be attacked again unless we move.;On nous attaquera de nouveau si nous restons ici.;4;We'll be attacked again unless we move.
Look at him... Look what they've done to him!;Regarde...! Regarde ce qu'elles lui ont fait !;5;Look at him... Look what they've done to him!
The Shades are even attacking the village now.;Les Ombres s'infiltrent même dans le village maintenant.;6;The Shades are even attacking the village now.
And armored ones, no less.;Et en plus, elles portent une armure !;7;And armored ones, no less.
This village of yours seems to be changing for the worse.;Ton village semble se détériorer à vue d'œil.;8;This village of yours seems to be changing for the worse.
"We didn't ask for this; it's all the Shadowlord's fault! That one day changed everything...";Nous n'avons pas provoqué tout ce chaos#! C'est la faute du Maître des Ombres#! Tout a changé ce jour-là…;9;"We didn't ask for this; it's all the Shadowlord's fault! That one day changed everything..."
Five long years...;Cinq longues années...;10;Five long years...
*Sob...sob...*;...;11;*Sob...sob...*
Best to leave her be.;Nous ferions mieux de la laisser tranquille.;12;Best to leave her be.
You look exhausted. Remember, you can't help Yonah if you don't take care of yourself.;Tu as l'air épuisé. N'oublie pas, tu ne pourras pas aider Yonah si tu ne prends pas d'abord soin de toi-même.;13;You look exhausted. Remember, you can't help Yonah if you don't take care of yourself.
It's not just you, you know? Our whole village is worried about Yonah!;Tu n'es pas le seul à t'inquiéter pour Yonah, tu sais... Tout le village se fait du souci.;14;It's not just you, you know? Our whole village is worried about Yonah!
Maybe today is the day we finally find her.;Qui sait#? C'est peut-être aujourd'hui que tu retrouveras enfin Yonah.;15;Maybe today is the day we finally find her.
Those creatures destroyed my crops! Oh, what am I going to do now?;Ces créatures ont détruit ma récolte#! Oh, que vais-je faire maintenant#?;16;Those creatures destroyed my crops! Oh, what am I going to do now?
Please, my baby is starving. I'll take a crust of bread or an apple seed...anything!;Je t'en supplie#! Mon bébé meurt de faim... J'ai besoin de nourriture. Un quignon de pain, des graines, n'importe quoi...!;17;Please, my baby is starving. I'll take a crust of bread or an apple seed...anything!
My neighbor has been stealing vegetables from me! I know it!;Mon voisin m'a volé des légumes#! J'en suis certain#!;18;My neighbor has been stealing vegetables from me! I know it!
People say the family over there is hoarding food in their basement!;D'aucuns disent que cette famille, là-bas, amasse des réserves de nourriture dans leur sous-sol#!;19;People say the family over there is hoarding food in their basement!
Shame! Shame on them all!; Ils devraient avoir honte#!;20;Shame! Shame on them all!
They burned my house down! They said I'd been stealing vegetables, but it's not true!;Ils ont brûlé ma maison#! Ils disent que j'ai volé des légumes, mais ce n'est pas vrai,;21;They burned my house down! They said I'd been stealing vegetables, but it's not true!
I swear it!;je te le jure#!;22;I swear it!
I don't have anything for you! Go home already!;Je n'ai rien à t'offrir#! Rentre chez toi#!;23;I don't have anything for you! Go home already!
Whoa. You look pretty run down.;Ouh là, tu as l'air à bout de force.;24;Whoa. You look pretty run down.
Just old, is all.;Je suis vieux, voilà tout.;25;Just old, is all.
If you say so. By the way, Popola said she had a letter for you or something.;Si tu le dis. Au fait, Popola aurait paraît-il une lettre pour toi.;27;If you say so. By the way, Popola said she had a letter for you or something.
Just look at you. You look terrible. I know you're worried about Yonah,;Tu devrais te voir. Tu as vraiment mauvaise mine. Je sais que tu t'inquiètes pour Yonah,;28;Just look at you. You look terrible. I know you're worried about Yonah,
but you're going to kill yourself!;mais si tu continues ainsi, tu ne survivras pas longtemps#!;29;but you're going to kill yourself!
I'm fine. Just tired, is all.;Je vais bien. Je suis fatigué, voilà tout.;30;I'm fine. Just tired, is all.
We can't all stay as young and pretty as you, Popola.;Nous ne pouvons pas tous rester aussi jeune et jolie que toi, Popola.;31;We can't all stay as young and pretty as you, Popola.
Well, aren't we feeling saucy today?;Oh, tu te sens dragueur, aujourd'hui#?;32;Well, aren't we feeling saucy today?
No, it's true. You look the same as the day I first met you.;Non, c'est la vérité. Tu n'as pas du tout changé depuis le jour où je t'ai rencontrée.;33;No, it's true. You look the same as the day I first met you.
Okay, now you're just embarrassing me.;Arrête, tu vas me faire rougir.;34;Okay, now you're just embarrassing me.
Here. This is from Emil.;Tiens, c'est de la part d'Émile.;35;Here. This is from Emil.
Perhaps the time has come to save Kainé.;Le moment est peut-être venu de porter secours à Kainé.;36;Perhaps the time has come to save Kainé.
Does this mean you'll be leaving the village?;Est-ce que ça veut dire que tu vas quitter le village#?;38;Does this mean you'll be leaving the village?
Sorry... I know things have been rough lately.;Désolé... Je sais que les temps sont durs dernièrement.;39;Sorry... I know things have been rough lately.
It's okay. Go. We know you're doing it for Yonah.;C'est bon, vas-y. Nous savons que c'est pour Yonah que tu te bats.;40;It's okay. Go. We know you're doing it for Yonah.
I feel confident that the child still lives.;Je suis certain que ta fille est toujours en vie.;41;I feel confident that the child still lives.
I know she's alive. She has to be. If she isn't...;Je sais qu'elle est vivante. Elle doit l'être. Si elle ne l'est pas...;42;I know she's alive. She has to be. If she isn't...
Welcome, sir. Master Emil is waiting in his chambers.;Bienvenue. Monsieur Émile vous attend dans ses appartements.;43;Welcome, sir. Master Emil is waiting in his chambers.
We need to talk to Emil first.;Nous devons d'abord parler à Émile.;44;We need to talk to Emil first.
Oh! Hey there, guys!;Oh ! Bonjour !;45;Oh! Hey there, guys!
