JAP;FR;COUNT;OUPS
Be...ware...;Méfiez-vous...;1;Be...ware...
Be...ware...the wor...ds...;Méfiez-vous... des mots...;2;Be...ware...the wor...ds...
The words? What do you mean?;Les mots#? Que voulez-vous dire#?;3;The words? What do you mean?
Contagious...words...;Les mots... contagieux...;4;Contagious...words...
Those...who...dr...eam...;Ceux... qui rêvent...;5;Those...who...dr...eam...
Those who dream?;Ceux qui rêvent#?;7;Those who dream?
Hey.;Salut.;8;Hey.
Um...hello?;Euh, bonjour#?;11;Um...hello?
...Real bright and talkative, Popola.;... Très jovial et bavard, comme nous l'a dit Popola.;13;...Real bright and talkative, Popola.
Oh, thank you so much!;Oh, mille mercis#!;15;Oh, thank you so much!
Now I can finally return to a normal life.;Je peux enfin retourner à ma vie normale#!;16;Now I can finally return to a normal life.
This is one of the most bizarre diseases I have ever encountered.;C'est une des maladies les plus étranges que j'aie jamais rencontrées.;17;This is one of the most bizarre diseases I have ever encountered.
I know. That's why I have to help the other villagers, no matter what.;Oui, et je dois à tout prix aider les autres villageois.;18;I know. That's why I have to help the other villagers, no matter what.
This must be another person infected by the Deathdream.;Il est sans doute sous l'emprise du songe mortel, lui aussi.;20;This must be another person infected by the Deathdream.
It would appear that way, yes.;Cela semble en effet être le cas.;21;It would appear that way, yes.
Gods, please don't tell me we have to go back in there. I'm no good at this mind-game crap. I'd rather hit something in the face and be done with it.;Ne me dis pas que je dois y retourner#! Je n'ai aucun talent pour ces manœuvres psychologiques. Je préfère régler mes problèmes en donnant des baffes.;22;Gods, please don't tell me we have to go back in there. I'm no good at this mind-game crap. I'd rather hit something in the face and be done with it.
Perhaps you should spend less time complaining and more time getting on with the mission!;Arrête de te plaindre et concentre-toi sur ta mission#!;23;Perhaps you should spend less time complaining and more time getting on with the mission!
Yeah, yeah...;D'accord, d'accord...;26;Yeah, yeah...
...You have anything to say about that?;... Tu as quelque chose à dire#?;29;...You have anything to say about that?
Hopefully there will be no labyrinth next time!;La prochaine fois, je me passerais bien d'un labyrinthe#!;30;Hopefully there will be no labyrinth next time!
I hear you.;À qui le dis-tu#!;31;I hear you.
And another victim! ...This work certainly is trying.;Une autre victime#! Tout ça est vraiment éprouvant...;32;And another victim! ...This work certainly is trying.
I'm surprised, Weiss. You're a book. All this word stuff should be right up your alley.;Tu me surprends, Weiss. Tu es pourtant un livre. Ces énigmes et jeux de mots devraient être ton rayon.;33;I'm surprised, Weiss. You're a book. All this word stuff should be right up your alley.
Hmm, yes. Quite. ...Well, enough chatter! Let's be off!;Hum, oui. Bien sûr... Eh bien, assez bavardé#! Continuons#!;36;Hmm, yes. Quite. ...Well, enough chatter! Let's be off!
Okay, that was terrible.;Alors, je l'avoue, ce rêve était horrible.;38;Okay, that was terrible.
I am positive I have seen that place before.;Je suis certain de connaître également cet endroit...;39;I am positive I have seen that place before.
Stop! I get enough foreboding crap from everyone else in my life. Don't you start, too.;Oh, arrête. Je connais assez de gens qui ont des pressentiments sans que tu t'y mettes toi aussi.;40;Stop! I get enough foreboding crap from everyone else in my life. Don't you start, too.
Well, that was a mistake.;Eh bien, ce n'était pas la bonne réponse.;45;Well, that was a mistake.
Yeah.;En effet.;46;Yeah.
We'd best act more carefully next time.;Tu devrais faire plus attention la prochaine fois.;47;We'd best act more carefully next time.
...This is the worst job ever.;Je n'ai jamais eu de pire mission à accomplir.;48;...This is the worst job ever.
Okay. There. Now all the villagers can wake up, right?;Bien. Tous les villageois devraient être réveillés, non#?;49;Okay. There. Now all the villagers can wake up, right?
Yes, if the mayor's assumption was correct.;Si la théorie du maire était exacte.;50;Yes, if the mayor's assumption was correct.
I think I have had enough wordplay to last a lifetime, thank you very much!;J'espère ne jamais avoir à résoudre une autre énigme de ma vie#!;51;I think I have had enough wordplay to last a lifetime, thank you very much!
Yeah, I hear you. ...Well, let's go see the mayor.;Moi non plus... Eh bien, allons parler au maire.;52;Yeah, I hear you. ...Well, let's go see the mayor.
Oh, thank you! Thank you so much!;Oh, merci#! Merci beaucoup#!;53;Oh, thank you! Thank you so much!
Here, I have something for you. ;Tenez, c'est pour vous.;54;Here, I have something for you. 
...Holy crap. I can really have this?;Par tous les...! Vraiment#?!;55;...Holy crap. I can really have this?
Of course!;Bien sûr#!;56;Of course!
It's apparently a weapon of some renown, but we have little use for it.;Il semblerait que ce soit une arme d'illustre origine, mais nous n'en avons pas vraiment besoin.;57;It's apparently a weapon of some renown, but we have little use for it.
Well, we appreciate it.;J'en ferai bon usage.;58;Well, we appreciate it.
Thank you again! For everything!;Merci encore pour toute l'aide que vous nous avez accordée#!;59;Thank you again! For everything!
I simply cannot bear another of these infernal conversations. Let us save it for another time.;Je ne pourrais tout simplement pas supporter une autre de ces conversations infernales. Nous avons mieux à faire.;60;I simply cannot bear another of these infernal conversations. Let us save it for another time.
Weiss: Hold a moment... There is a strange new sensation in my mind.;Weiss#: Un instant... Une étrange sensation inconnue envahit mon esprit.;61;Weiss: Hold a moment... There is a strange new sensation in my mind.
Weiss's voice rose in a quizzical way.;Le visage de Weiss prit un air interrogateur.;62;Weiss's voice rose in a quizzical way.
Weiss: It is NOT quizzical!;Weiss#: Mon visage n'est pas interrogateur#!;63;Weiss: It is NOT quizzical!
<NIER>: What's going on here!?;<NIER>#: Que se passe-t-il donc#?!;64;<NIER>: What's going on here!?
The villager's body shuddered as he slowly opened his eyes.;L'homme devant eux tressaillit et ouvrit les yeux.;65;The villager's body shuddered as he slowly opened his eyes.
Weiss: Perhaps we should start by asking this man.;Weiss#: Nous devrions peut-être le demander à cet homme.;66;Weiss: Perhaps we should start by asking this man.
Villager: ...Wh-who are you?;Homme#: Qui... qui êtes-vous#?;67;Villager: ...Wh-who are you?
<NIER>: I'm <NIER>. This is Weiss. We heard something happened to this village, so we came to see if we could help.;<NIER>#: Je m'appelle <NIER>. Voici Weiss. Nous avons entendu dire qu'un incident était survenu dans ce village, alors nous sommes venus offrir notre aide.;68;<NIER>: I'm <NIER>. This is Weiss. We heard something happened to this village, so we came to see if we could help.
The villager stared at <NIER> and Weiss.;L'homme fixa <NIER> et Weiss du regard.;69;The villager stared at <NIER> and Weiss.
Villager: If you can speak to me...;Homme#: Si vous pouvez me parler...;70;Villager: If you can speak to me...
Villager: I must have caught you in my dream.;... c'est que vous êtes dans mon rêve.;71;Villager: I must have caught you in my dream.
<NIER>: How's that again?;<NIER>#: Pardon#?;72;<NIER>: How's that again?
The villager explained.;L'homme leur expliqua la situation.;73;The villager explained.
