JAP;FR;COUNT;OUPS
Desert Well 01 unlocked.;Le puits de sable nº#1 est activé.;1;Desert Well 01 unlocked.
You must unlock another well before you can use them to fast-travel.;Vous devez activer un autre puits avant de pouvoir l'utiliser.;2;You must unlock another well before you can use them to fast-travel.
Desert Well 02 unlocked.;Le puits de sable nº#2 est activé.;17;Desert Well 02 unlocked.
You must unlock another well before you can use them to fast-travel.;Vous devez activer un autre puits avant de pouvoir l'utiliser.;18;You must unlock another well before you can use them to fast-travel.
Desert Well 03 unlocked.;Le puits de sable nº#3 est activé.;33;Desert Well 03 unlocked.
You must unlock another well before you can use them to fast-travel.;Vous devez activer un autre puits avant de pouvoir l'utiliser.;34;You must unlock another well before you can use them to fast-travel.
Desert Well 04 unlocked.;Le puits de sable nº#3 est activé.;49;Desert Well 04 unlocked.
You must unlock another well before you can use them to fast-travel.;Vous devez activer un autre puits avant de pouvoir l'utiliser.;50;You must unlock another well before you can use them to fast-travel.
What is this, a fountain?;Qu'est-ce que c'est, un puits#?;70;What is this, a fountain?
It appears to be out of service.;Il semble tari.;71;It appears to be out of service.
I don't have time for sightseeing.;Ce n'est pas le moment d'errer sans but.;72;I don't have time for sightseeing.
I don't need to go out quite yet.;Je n'ai pas besoin de sortir du village.;73;I don't need to go out quite yet.
She couldn't have left the village...;Elle ne pourrait pas avoir quitté le village...;74;She couldn't have left the village...
I think Popola said to head east...;Je crois que Popola a dit d'aller vers l'est...;75;I think Popola said to head east...
I'd better look around town some more.;Je devrais fouiller la ville.;76;I'd better look around town some more.
I need to gather more info from the villagers.;Je dois interroger les villageois et obtenir plus d'informations.;77;I need to gather more info from the villagers.
I need to kill all the Shades first.;Je dois d'abord me débarrasser des Ombres.;78;I need to kill all the Shades first.
I can't get in yet...;Je ne peux pas encore y entrer.;79;I can't get in yet...
This place is lousy with Shades. There's got to be a Sealed Verse nearby.;Cet endroit fourmille d'Ombres. Il doit y avoir un vers scellé dans les environs.;80;This place is lousy with Shades. There's got to be a Sealed Verse nearby.
I don't think you can venture in here again.;Je ne crois pas que tu puisses pénétrer de nouveau en cet endroit.;81;I don't think you can venture in here again.
I should go to the library and see what Popola's up to.;Je dois aller à la bibliothèque. Popola m'attend.;82;I should go to the library and see what Popola's up to.
No. I'm not gonna leave now.;Non. Je ne vais pas la quitter maintenant.;83;No. I'm not gonna leave now.
We should go talk to Popola.;Nous devrions aller parler à Popola.;84;We should go talk to Popola.
Might as well head for Facade.;Nous devrions nous rendre à Façade.;85;Might as well head for Facade.
Enough horseplay!;Assez plaisanté !;86;Enough horseplay!
These people need your help! Hurry!;Ces gens ont besoin de ton aide !;87;These people need your help! Hurry!
I should go to the library and see what Popola's up to.;Je dois aller à la bibliothèque. Popola m'attend.;88;I should go to the library and see what Popola's up to.
I'd better get this meat back to the village.;Bien. Il ne me reste plus qu'à apporter la viande à l'apothicaire.;89;I'd better get this meat back to the village.
The sandstorm's too intense to go any further.;La tempête m'empêche d'aller plus loin.;90;The sandstorm's too intense to go any further.
Popola said we might be able to find a key fragment in the Junk Heap.;Popola a dit que nous pourrions trouver un fragment de la clef dans la montagne des robots.;91;Popola said we might be able to find a key fragment in the Junk Heap.
Perhaps we can find a clue at Two Brothers Weaponry.;Nous découvrirons sans doute un indice à l'armurerie des frères.;92;Perhaps we can find a clue at Two Brothers Weaponry.
Popola said we might be able to find something in the Forest of Myth.;Popola a dit que nous pourrions trouver quelque chose dans la forêt des légendes.;93;Popola said we might be able to find something in the Forest of Myth.
You will forgive me if I seem less than enthusiastic about such a trip.;J'espère que tu excuseras mon manque d'enthousiasme.;94;You will forgive me if I seem less than enthusiastic about such a trip.
Let's see if the Junk Heap kid sent us a letter.;Allons voir si nous avons reçu une lettre du gamin de la montagne des robots.;95;Let's see if the Junk Heap kid sent us a letter.
Maybe Popola has some new information. Let's go see her.;Popola a peut-être plus d'informations. Allons la voir.;96;Maybe Popola has some new information. Let's go see her.
Very well.;Bien.;97;Very well.
Are you ready for battle?;Es-tu prêt à combattre#?;98;Are you ready for battle?
Yeah. We have to avenge Fyra.;Oui, nous devons venger Fyra.;99;Yeah. We have to avenge Fyra.
I'm ready to strengthen your weapon anytime.;Je peux améliorer vos armes quand vous voulez#!;110;I'm ready to strengthen your weapon anytime.
<LIST=94>Strengthen weapons</LIST>;<LIST=94>Forge</LIST>;111;<LIST=94>Strengthen weapons</LIST>
<LIST=95>Buy and sell items</LIST>;<LIST=95>Magasin</LIST>;112;<LIST=95>Buy and sell items</LIST>
<LIST=96>Cancel</LIST>;<LIST=96>Annuler</LIST>;113;<LIST=96>Cancel</LIST>
Come back soon!;À bientôt#!;117;Come back soon!
What can I help you with?;En quoi puis-je vous être utile#?;118;What can I help you with?
<LIST=99>Strengthen weapons</LIST>;<LIST=99>Forge</LIST>;119;<LIST=99>Strengthen weapons</LIST>
<LIST=100>Buy and sell items</LIST>;<LIST=100>Magasin</LIST>;120;<LIST=100>Buy and sell items</LIST>
<LIST=101>Cancel</LIST>;<LIST=101>Annuler</LIST>;121;<LIST=101>Cancel</LIST>
Come back soon!;À bientôt#!;125;Come back soon!
Hello. Can I help you with something?;Bonjour. En quoi puis-je vous être utile#?;233;Hello. Can I help you with something?
We need to go to the courtyard.;Nous devons aller dans la cour.;237;We need to go to the courtyard.
Perhaps we should pay a visit to the old woman in the lighthouse.;Nous devrions peut-être aller rendre visite à la vieille dame du phare.;238;Perhaps we should pay a visit to the old woman in the lighthouse.
I have a suspicion about her...;J'ai quelques doutes...;239;I have a suspicion about her...
This is hardly the time to be writing letters.;Ce n'est pas le moment d'écrire des lettres.;241;This is hardly the time to be writing letters.
I guess it's locked.;La porte est verrouillée...;242;I guess it's locked.
What's with this room?;À quoi sert cette pièce#?;243;What's with this room?
The hell should I know? Maybe it's Popola's hobby corner or something.;Hum... Je crois que Popola y range habituellement ses objets favoris.;244;The hell should I know? Maybe it's Popola's hobby corner or something.
What's that?;Mais c'est...;245;What's that?
It looks like the Shade we saw in the Lost Shrine.;Cela ressemble à la statue que nous avons combattue dans le temple oublié.;246;It looks like the Shade we saw in the Lost Shrine.
It's that lizard thing we fought in The Aerie.;C'est l'Ombre géante de l'Aire qui ressemblait à un lézard.;247;It's that lizard thing we fought in The Aerie.
Who would make a figure of that, anyway? And what is it doing here!?;Je n'arrive pas à croire qu'un artiste ait été inspiré par une créature aussi dégoûtante... et encore moins que quelqu'un voudrait exhiber son œuvre#!;248;Who would make a figure of that, anyway? And what is it doing here!?
It's a sculpted leaf. Um...right?;Une branche sculptée...?;249;It's a sculpted leaf. Um...right?
This is the first sane thing I've seen in this room.;C'est la seule chose sensée dans cette pièce.;250;This is the first sane thing I've seen in this room.
This is from the Junk Heap.;Serait-ce l'énorme machine de la montagne des robots#?;251;This is from the Junk Heap.
For a decoration, it's certainly in poor taste.;Ce n'est pas vraiment ce qu'on pourrait appeler un objet décoratif...;252;For a decoration, it's certainly in poor taste.
We saw this cube back in the Barren Temple.;Nous avons vu des boîtes semblables dans le temple stérile.;253;We saw this cube back in the Barren Temple.
Perhaps the prince of Facade gave it to Popola as a gift?;Il s'agit peut-être d'un cadeau du roi de Façade.;254;Perhaps the prince of Facade gave it to Popola as a gift?
Look, Weiss! Somebody made a copy of you!;Tiens, cette figurine te ressemble, Weiss#!;255;Look, Weiss! Somebody made a copy of you!
Nonsense! Rubbish! Utter flimflam! I am nowhere near this filthy!;Pfft#! Je ne suis pas aussi poussiéreux#!;256;Nonsense! Rubbish! Utter flimflam! I am nowhere near this filthy!
We saw this Shade in the Lost Shrine. What's it doing here?;C'est l'autre statue du temple oublié. Que fait-elle ici#?;257;We saw this Shade in the Lost Shrine. What's it doing here?
I have long ceased trying to puzzle out this room.;Qui sait#?;258;I have long ceased trying to puzzle out this room.
It's a statue...of a boy.;C'est une figurine d'un garçon.;259;It's a statue...of a boy.
Popola certainly has some eccentric tastes.;Popola a des goûts vraiment bizarres...;260;Popola certainly has some eccentric tastes.
What on earth...?;C'est...;261;What on earth...?
It's the massive Shade we saw in The Aerie. ;La sphère qui est apparue dans le village de l'Aire.;262;It's the massive Shade we saw in The Aerie. 
I don't even want to know.;Que peut-elle bien faire ici...?;263;I don't even want to know.
A wolf figurine?;Un bibelot en forme de loup#?;264;A wolf figurine?
Of very fine construction, I would add.;Quel chef-d'œuvre...!;265;Of very fine construction, I would add.
This looks like Emil's sister.;Oh, une statuette de la sœur d'Émile...;266;This looks like Emil's sister.
An exquisite piece of work! It feels as alive as you or I.;Elle lui ressemble comme deux gouttes d'eau#!;267;An exquisite piece of work! It feels as alive as you or I.
I remember killing this bastard in the Junk Heap.;Oh, le robot qui a voulu protéger la petite Ombre...;268;I remember killing this bastard in the Junk Heap.
It was a fearsome foe, but under this environment, it looks almost...charming.;Il nous a donné du fil à retordre, mais je dois avouer que dans cette pièce, il n'a pas l'air si dangereux.;269;It was a fearsome foe, but under this environment, it looks almost...charming.
Why would Popola be collecting figures of the Shades we defeated?;Pourquoi Popola collectionne-t-elle des modèles réduits de monstres que nous avons combattus#?;270;Why would Popola be collecting figures of the Shades we defeated?
I haven't a clue.;Je n'en ai aucune idée.;271;I haven't a clue.
Ah, hell. If they aren't real, I guess I don't give a damn. Let her do what she wants.;Du moment que ce ne sont pas les vrais monstres, peu m'importe.;272;Ah, hell. If they aren't real, I guess I don't give a damn. Let her do what she wants.
It seems we have been shut in...;On dirait que la porte est verrouillée...;273;It seems we have been shut in...
Welcome! I'm afraid we don't have anything in stock at the moment, but please come again!;Bienvenue#! Je n'ai rien à vous offrir aujourd'hui, mais revenez bientôt#!;274;Welcome! I'm afraid we don't have anything in stock at the moment, but please come again!
