JAP;FR;COUNT;OUPS
Oh, hello! Hi there! How are things?<PAGE>...Huh? You want to know if anything unusual is happening?;Oh, bonjour#! Comment allez-vous#?<PAGE>... Euh, vous voulez savoir s'il se passe des choses étranges par ici#?;1;Oh, hello! Hi there! How are things?<PAGE>...Huh? You want to know if anything unusual is happening?
Well, I have been feeling a rather strange presence whenever I visit the Divine Tree.;Eh bien, je sens une présence insolite chaque fois que je m'approche de l'arbre divin.;2;Well, I have been feeling a rather strange presence whenever I visit the Divine Tree.
The Divine Tree?;L'arbre divin#?;3;The Divine Tree?
Yes. It's a legendary tree that exists in the heart of our village.;Oui, c'est l'arbre millénaire qui s'élève au cœur de notre village.;4;Yes. It's a legendary tree that exists in the heart of our village.
Did you investigate the cause of this...presence?;Avez-vous étudié la cause de cette... présence#?;5;Did you investigate the cause of this...presence?
Uh...not really, no.;Euh, non, pas vraiment.;6;Uh...not really, no.
And why not?;Ah bon#? Pourquoi pas#?;7;And why not?
Well, we're not...we're not really supposed to go near the tree, except for prayer.;Eh bien, nous... Nous ne sommes pas censés nous approcher de l'arbre divin à moins de vouloir prier.;8;Well, we're not...we're not really supposed to go near the tree, except for prayer.
And why is THAT!?;Pourquoi#?;9;And why is THAT!?
I don't know, all right! It's just how things have always been.;Je ne sais pas... C'est simplement la coutume.;10;I don't know, all right! It's just how things have always been.
...Weird.;... Bizarre.;11;...Weird.
There's something strange happening with the Divine Tree.;Il y a quelque chose d'anormal chez l'arbre divin.;12;There's something strange happening with the Divine Tree.
Oh, that reminds me! I have a rather interesting story for you. Would you care to hear it?;Oh, j'oubliais#! J'ai une histoire intéressante à vous raconter. Voulez-vous l'écouter#?;13;Oh, that reminds me! I have a rather interesting story for you. Would you care to hear it?
The weird presence has left the Divine Tree.;Je ne sens plus de présence insolite près de l'arbre divin.;14;The weird presence has left the Divine Tree.
And you know, it really made me think. I mean, why are we worshiping a tree!? Doesn't that seem odd?<PAGE>Sometimes I wonder why we do any of the things we do.;Et vous savez, ça m'a fait réfléchir. Pourquoi rendons-nous un culte à un arbre#?Ça ne vous paraît pas curieux#?<PAGE>Je me demande parfois pourquoi nous faisons les choses telles que nous les faisons.;15;And you know, it really made me think. I mean, why are we worshiping a tree!? Doesn't that seem odd?<PAGE>Sometimes I wonder why we do any of the things we do.
Oh, that reminds me! I have a rather interesting story for you. Would you care to hear it?;Oh, j'oubliais#! J'ai une histoire intéressante à vous raconter. Voulez-vous l'écouter#?;16;Oh, that reminds me! I have a rather interesting story for you. Would you care to hear it?
What, unusual activity? Here? ...No, I don't think so.;Quelque chose d'étrange#? Ici#?... Non, je ne crois pas.;17;What, unusual activity? Here? ...No, I don't think so.
But I DO have an incredible story for you! Wanna hear it?;Mais j'ai une histoire incroyable à vous raconter#! Ça vous dit de l'entendre#?;18;But I DO have an incredible story for you! Wanna hear it?
The key to the Shadowlord's castle? You're talking crazy talk!;La clef du château du Maître des Ombres#? Mais qu'est-ce que vous racontez#?!;19;The key to the Shadowlord's castle? You're talking crazy talk!
Anyway, enough of your madness. Let's talk about MY story!;Assez de sottises#! Laissez-moi vous raconter MON histoire#!;20;Anyway, enough of your madness. Let's talk about MY story!
We are the grass... We are the trees... We are the woods...;Nous sommes l'herbe... Nous sommes les arbres... Nous sommes la forêt...;21;We are the grass... We are the trees... We are the woods...
Why do we seem to encounter nothing but odd people lately?;Pourquoi ne rencontrons-nous que des entités étranges ces derniers temps#?;24;Why do we seem to encounter nothing but odd people lately?
You should talk, Weiss.;Tu peux bien parler, Weiss#!;25;You should talk, Weiss.
